Date,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,precipitationMM,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,Caption,Subcaption
1/1/2015 0:00,25.2,19.7,10.8,1013.1,2.3,0.0/24h,8,4,0.6,12,Present weather reported from a manned weather station,Haze
1/1/2015 3:00,26.7,19.8,14.4,1013.6,-0.5,0.0/3h,8,4,0.6,10,Present weather reported from a manned weather station,Haze
1/1/2015 6:00,22.5,21.6,3.6,1013,-0.6,2.0/6h,8,4,0.6,10,Present weather reported from a manned weather station,"Rain, not freezing, continuous, slight at time of observation"
1/1/2015 9:00,22.4,20,7.2,1012.9,0.1,4.0/3h,8,4,0.6,10,Present weather reported from a manned weather station,"Rain shower(s), slight"
1/1/2015 12:00,22.8,19.6,0,1014.8,1.9,4.0/6h,6,3,0.6,10,Present weather reported from a manned weather station,Haze
1/1/2015 15:00,23.3,18.4,7.2,1015,0.2,0.0/3h,6,3,0.6,10,Present weather reported from a manned weather station,State of sky on the whole unchanged. No meteors except photometeors
1/1/2015 18:00,23.1,18.3,0,1013.7,-1.3,0.0/6h,4,1,0.6,10,Present weather reported from a manned weather station,Clouds generally dissolving or becoming less developed. No meteors except photometeors
1/1/2015 21:00,23,18.5,3.6,1013.7,0,0.0/3h,2,2,0.6,10,Present weather reported from a manned weather station,Clouds generally dissolving or becoming less developed. No meteors except photometeors
1/2/2015 0:00,24.8,18.4,0,1015.7,2,6.7/24h,3,3,0.6,12,Present weather reported from a manned weather station,Haze
1/2/2015 3:00,27.9,19,0,1015.6,0.1,0.0/3h,6,3,0.6,12,Present weather reported from a manned weather station,Haze
1/2/2015 6:00,28.4,19.7,14.4,1012.9,-2.7,0.0/6h,6,3,0.6,12,Present weather reported from a manned weather station,Haze
1/2/2015 9:00,27.2,18.7,14.4,1013.8,0.9,0.0/3h,7,3,0.6,12,Present weather reported from a manned weather station,Haze
1/2/2015 12:00,24.9,18.2,3.6,1015.5,1.7,0.0/6h,6,2,0.6,10,Present weather reported from a manned weather station,Haze
1/2/2015 15:00,24,19,3.6,1015.7,0.2,0.0/3h,6,2,0.6,10,Present weather reported from a manned weather station,State of sky on the whole unchanged. No meteors except photometeors
1/2/2015 18:00,23.3,18.7,3.6,1014.8,-0.9,0.0/6h,7,3,0.6,10,Present weather reported from a manned weather station,Clouds generally forming or developing. No meteors except photometeors
1/2/2015 21:00,23,18.8,7.2,1014.6,-0.2,0.0/3h,7,3,0.6,10,Present weather reported from a manned weather station,Clouds generally forming or developing. No meteors except photometeors
1/3/2015 0:00,23.7,19.1,7.2,1016.9,2.3,0.0/24h,5,1,0.6,12,Present weather reported from a manned weather station,Haze
1/3/2015 3:00,27.2,20.5,10.8,1015.7,-1.2,0.0/3h,5,3,0.6,12,Present weather reported from a manned weather station,Haze
1/3/2015 6:00,27.9,21.1,10.8,1012.8,-2.9,0.0/6h,7,3,0.6,12,Present weather reported from a manned weather station,Haze
1/3/2015 9:00,27.5,21.4,3.6,1013.1,0.3,0.0/3h,6,3,0.6,12,Present weather reported from a manned weather station,Haze
1/3/2015 12:00,25.6,19.6,3.6,1014,0.9,0.0/6h,5,2,0.6,10,Present weather reported from a manned weather station,Haze
1/3/2015 15:00,24.3,19.9,0,1014.4,0.4,0.0/3h,5,2,0.6,10,Present weather reported from a manned weather station,State of sky on the whole unchanged. No meteors except photometeors
1/3/2015 18:00,23.8,20.6,3.6,1012.9,-1.5,0.0/6h,4,2,0.6,10,Present weather reported from a manned weather station,Clouds generally dissolving or becoming less developed. No meteors except photometeors
1/3/2015 21:00,22.5,20.1,0,1012.5,-0.4,0.0/3h,6,2,0.6,10,Present weather reported from a manned weather station,Clouds generally forming or developing. No meteors except photometeors
